group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
proof 10k,,400000,,,1046946375.0,ns,1
proof 10k,,400000,,,1047963333.0,ns,1
proof 10k,,400000,,,1023010000.0,ns,1
proof 10k,,400000,,,1027701833.0,ns,1
proof 10k,,400000,,,1029648541.0,ns,1
proof 10k,,400000,,,1043624958.0,ns,1
proof 10k,,400000,,,1047511250.0,ns,1
proof 10k,,400000,,,1039727500.0,ns,1
proof 10k,,400000,,,1046103291.0,ns,1
proof 10k,,400000,,,1033753458.0,ns,1
